GeoLocationKey	CountryCode	Country	StateCode	State	NumCustomers
336	GB	United Kingdom	West Oxfordshire	West Oxfordshire	5
337	GB	United Kingdom	Westminster	Westminster	2
338	GB	United Kingdom	Wigan	Wigan	2
339	GB	United Kingdom	Wigtownshire	Wigtownshire	5
340	GB	United Kingdom	Wiltshire	Wiltshire	31
341	GB	United Kingdom	Winchester	Winchester	5
342	GB	United Kingdom	Wirral	Wirral	2
343	GB	United Kingdom	Woking	Woking	1
344	GB	United Kingdom	Wolverhampton	Wolverhampton	7
345	GB	United Kingdom	Worcester	Worcester	7
346	GB	United Kingdom	Wrexham	Wrexham	1
347	GB	United Kingdom	Wychavon	Wychavon	1
348	GB	United Kingdom	Wycombe	Wycombe	2
349	GB	United Kingdom	Wyre	Wyre	1
350	GB	United Kingdom	Wyre Forest	Wyre Forest	3
351	GB	United Kingdom	York	York	11
352	IT	Italy	AG	Agrigento	3
353	IT	Italy	AL	Alessandria	8
354	IT	Italy	AN	Ancona	6
355	IT	Italy	AO	Aosta	2
356	IT	Italy	AP	Ascoli Piceno	7
357	IT	Italy	AQ	L'Aquila	4
358	IT	Italy	AR	Arezzo	5
359	IT	Italy	AT	Asti	5
360	IT	Italy	AV	Avellino	8
361	IT	Italy	BA	Bari	4
362	IT	Italy	BG	Bergamo	15
363	IT	Italy	BI	Biella	5
364	IT	Italy	BL	Belluno	4
365	IT	Italy	BN	Benevento	6
366	IT	Italy	BO	Bologna	13
367	IT	Italy	BR	Brindisi	2
368	IT	Italy	BS	Brescia	21
369	IT	Italy	BZ	Bolzano	19
370	IT	Italy	CA	Cagliari	10
371	GB	United Kingdom	ST0	State_0	17
372	DE	Germany	ST1	State_1	26
373	AU	Australia	ST2	State_2	38
374	FR	France	ST3	State_3	26
375	ES	Spain	ST4	State_4	12
376	GB	United Kingdom	ST5	State_5	47
377	FR	France	ST6	State_6	45
378	IT	Italy	ST7	State_7	25
379	US	United States	ST8	State_8	27
380	GB	United Kingdom	ST9	State_9	4
381	CA	Canada	ST10	State_10	37
382	IN	India	ST11	State_11	44
383	CA	Canada	ST12	State_12	28
384	US	United States	ST13	State_13	36
385	AU	Australia	ST14	State_14	23
386	FR	France	ST15	State_15	14
387	DE	Germany	ST16	State_16	47
388	DE	Germany	ST17	State_17	10
389	GB	United Kingdom	ST18	State_18	3
390	GB	United Kingdom	ST19	State_19	27
391	IT	Italy	ST20	State_20	6
392	CA	Canada	ST21	State_21	36
393	CA	Canada	ST22	State_22	50
394	CA	Canada	ST23	State_23	27
395	IN	India	ST24	State_24	31
396	BR	Brazil	ST25	State_25	30
397	IT	Italy	ST26	State_26	21
398	ES	Spain	ST27	State_27	27
399	CA	Canada	ST28	State_28	48
400	BR	Brazil	ST29	State_29	49
401	GB	United Kingdom	ST30	State_30	3
402	BR	Brazil	ST31	State_31	12
403	FR	France	ST32	State_32	37
404	IN	India	ST33	State_33	22
405	IN	India	ST34	State_34	16
406	IN	India	ST35	State_35	40
407	GB	United Kingdom	ST36	State_36	11
408	ES	Spain	ST37	State_37	13
409	BR	Brazil	ST38	State_38	29
410	DE	Germany	ST39	State_39	13
411	GB	United Kingdom	ST40	State_40	27
412	US	United States	ST41	State_41	13
413	IN	India	ST42	State_42	37
414	FR	France	ST43	State_43	32
415	US	United States	ST44	State_44	21
416	GB	United Kingdom	ST45	State_45	41
417	BR	Brazil	ST46	State_46	48
418	ES	Spain	ST47	State_47	46
419	US	United States	ST48	State_48	48
420	FR	France	ST49	State_49	40
421	FR	France	ST50	State_50	48
