OrderKey,CustomerKey,StoreKey,Order Date,Delivery Date,Currency Code,GeoLocationKey
138000,242542,90,5/18/2010,5/18/2010,CAD,336
138001,379002,90,5/18/2010,5/18/2010,CAD,337
138003,1214274,580,5/18/2010,5/18/2010,USD,338
138004,1601425,600,5/18/2010,5/18/2010,USD,339
138005,1463149,630,5/18/2010,5/18/2010,USD,340
139000,883134,320,5/19/2010,5/19/2010,EUR,341
139001,276108,70,5/19/2010,5/19/2010,CAD,342
139002,584463,230,5/19/2010,5/19/2010,EUR,343
139003,793686,290,5/19/2010,5/19/2010,EUR,344
139004,995272,999999,5/19/2010,5/28/2010,GBP,345
139005,1186641,420,5/19/2010,5/19/2010,GBP,346
139006,1606868,999999,5/19/2010,5/27/2010,USD,347
139007,1410080,510,5/19/2010,5/19/2010,USD,348
139008,571622,270,5/19/2010,5/19/2010,EUR,349
140000,1216890,510,5/20/2010,5/20/2010,USD,350
140001,2066255,500,5/20/2010,5/20/2010,USD,351
140002,1258739,550,5/20/2010,5/20/2010,USD,352
140003,1308399,450,5/20/2010,5/20/2010,USD,353
140004,1613129,500,5/20/2010,5/20/2010,USD,354
140005,1039125,390,5/20/2010,5/20/2010,GBP,355
140006,918778,999999,5/20/2010,5/28/2010,GBP,356
140007,204136,90,5/20/2010,5/20/2010,CAD,357
140008,1681092,600,5/20/2010,5/20/2010,USD,358
140009,1095669,370,5/20/2010,5/20/2010,GBP,359
141000,633649,170,5/21/2010,5/21/2010,EUR,360
141001,1741021,450,5/21/2010,5/21/2010,USD,361
141002,1467054,650,5/21/2010,5/21/2010,USD,362
141003,511426,250,5/21/2010,5/21/2010,EUR,363
141004,983037,390,5/21/2010,5/21/2010,GBP,364
141005,1426220,520,5/21/2010,5/21/2010,USD,365
141006,1550777,500,5/21/2010,5/21/2010,USD,366
142000,268520,90,5/22/2010,5/22/2010,CAD,367
142001,1802602,510,5/22/2010,5/22/2010,USD,368
142002,1291980,510,5/22/2010,5/22/2010,USD,369
142003,1959272,450,5/22/2010,5/22/2010,USD,370
142004,952285,370,5/22/2010,5/22/2010,GBP,371
142005,703000,300,5/22/2010,5/22/2010,EUR,372
142006,1631350,630,5/22/2010,5/22/2010,USD,373
142007,730203,300,5/22/2010,5/22/2010,EUR,374
142008,987912,420,5/22/2010,5/22/2010,GBP,375
142009,1789606,500,5/22/2010,5/22/2010,USD,376
142010,337695,90,5/22/2010,5/22/2010,CAD,377
142011,1961520,999999,5/22/2010,6/1/2010,USD,378
144000,1556431,520,5/24/2010,5/24/2010,USD,379
144001,1582685,580,5/24/2010,5/24/2010,USD,380
144002,1904291,650,5/24/2010,5/24/2010,USD,381
144003,247032,90,5/24/2010,5/24/2010,CAD,382
144004,1801831,520,5/24/2010,5/24/2010,USD,383
145000,1933782,999999,5/25/2010,6/4/2010,USD,384
145001,896242,999999,5/25/2010,6/7/2010,EUR,385
